trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,3.8298605763891,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,2,-19.826423711507676,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-197.9213814136999,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-83.81191945991081,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-118.62443886280721,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-117.85593564470022,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,6,-78.68682927051175,"{0: 6, 1: 1, 2: 6, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-163.63306584676778,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,1,-47.954381500559876,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,5,-80.43285539131708,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-74.56373129613989,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,18.866923275241938,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,13,-6.153507588744857,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-89.26891591962553,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-45.53660508892719,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-20.033260539245862,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,13.5979898326378,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,13,-19.646651545241898,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,7,15.850766026598182,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,16.866766115020233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,9,16.978697421209095,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-51.378249349265424,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,19,13.123206646267914,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,18.448151473778506,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,17.53243153105866,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,0,12.826580174666535,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,12,22.868493992940223,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,23.25002389091052,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,8,19.79092894792312,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,11,-17.814983338350622,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
