trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",25,4,-112.41616031584749,"{0: 13, 1: 0, 2: 3, 3: 5, 4: 0}",1
2,False,"{'a': 0.3, 'e': 0.995}",20,0,-137.0298949823237,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.99}",25,0,-232.18349778390117,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 4}",0
4,False,"{'a': 0.3, 'e': 0.985}",20,0,-72.99451121486678,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.98}",30,0,-137.11967717641068,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.975}",35,0,-94.50318816674599,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.97}",25,1,-104.9170924083142,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.3, 'e': 0.965}",30,4,-17.413223131682862,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.96}",20,0,-126.12670702328269,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.955}",30,0,-110.78519804216604,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.95}",30,0,-288.6843231700424,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 5}",0
12,False,"{'a': 0.3, 'e': 0.945}",20,0,-52.736187131277866,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.94}",25,13,-18.937315326311747,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.9349999999999999}",25,0,-165.83699627275763,"{0: 10, 1: 3, 2: 8, 3: 4, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.9299999999999999}",20,0,-82.6323888669993,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.9249999999999999}",20,0,-51.15371951792665,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.9199999999999999}",30,0,-171.63117246151873,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
18,False,"{'a': 0.3, 'e': 0.9149999999999999}",20,7,-75.1776407555699,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 1}",1
19,False,"{'a': 0.3, 'e': 0.9099999999999999}",25,0,-40.12577815663916,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.9049999999999999}",25,0,-149.23479575817916,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.3, 'e': 0.8999999999999999}",35,0,-146.55991689689014,"{0: 20, 1: 7, 2: 5, 3: 2, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.8949999999999999}",20,0,-187.83402583426042,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
23,False,"{'a': 0.3, 'e': 0.8899999999999999}",20,7,-67.59049953558286,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.3, 'e': 0.8849999999999999}",20,0,-67.68703797001646,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.8799999999999999}",25,0,-172.58150402998882,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
26,False,"{'a': 0.3, 'e': 0.8749999999999999}",20,0,-105.61963839617079,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.3, 'e': 0.8699999999999999}",20,0,-114.07745051447013,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.8649999999999999}",25,0,-89.19616306293469,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.3, 'e': 0.8599999999999999}",20,0,-92.91335153316493,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.3, 'e': 0.8549999999999999}",25,0,-111.1485199272646,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.3, 'e': 0.8499999999999999}",35,0,-124.22819514875813,"{0: 25, 1: 0, 2: 8, 3: 0, 4: 2}",0
32,False,"{'a': 0.3, 'e': 0.8449999999999999}",20,0,-80.72987147892584,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.3, 'e': 0.8399999999999999}",25,7,-10.483615434247865,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.3, 'e': 0.8349999999999999}",30,14,-55.93769673026196,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
35,False,"{'a': 0.3, 'e': 0.8299999999999998}",20,1,-26.609224887769653,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.8249999999999998}",25,2,-78.12973814638926,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
37,False,"{'a': 0.3, 'e': 0.8199999999999998}",20,0,-42.01112593868128,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.8149999999999998}",25,0,-149.07190794643992,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
39,False,"{'a': 0.3, 'e': 0.8099999999999998}",20,2,-137.196927443504,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 2}",1
40,False,"{'a': 0.3, 'e': 0.8049999999999998}",35,0,-171.35715026929438,"{0: 24, 1: 1, 2: 5, 3: 3, 4: 2}",0
41,False,"{'a': 0.3, 'e': 0.7999999999999998}",30,0,-46.209196911968384,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.7949999999999998}",20,1,-73.50366350682793,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
43,False,"{'a': 0.3, 'e': 0.7899999999999998}",20,0,-89.97334247329007,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.7849999999999998}",20,0,-42.127217576532274,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.7799999999999998}",20,0,-124.6127110941864,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.7749999999999998}",25,0,-74.44419255539526,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.3, 'e': 0.7699999999999998}",30,9,-14.539970371984758,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.7649999999999998}",25,0,-65.79198131425905,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
49,False,"{'a': 0.3, 'e': 0.7599999999999998}",20,0,-52.80717401973201,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.3, 'e': 0.7549999999999998}",25,0,-122.5773854819753,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
51,False,"{'a': 0.3, 'e': 0.7499999999999998}",30,13,-59.050609135717444,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.3, 'e': 0.7449999999999998}",25,0,-37.497096027169725,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.3, 'e': 0.7399999999999998}",25,0,-15.856448664381137,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.3, 'e': 0.7349999999999998}",20,11,-28.077099227392402,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.7299999999999998}",20,2,-92.72665343826628,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
56,False,"{'a': 0.3, 'e': 0.7249999999999998}",25,13,19.62666752424856,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.7199999999999998}",20,6,-15.404886872300224,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
