trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.8545445188124,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.57252097423794,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.10623661368918,"{0: 14, 1: 2, 2: 7, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-237.07698084419093,"{0: 16, 1: 3, 2: 4, 3: 4, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.70921374446647,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.05003902428813,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.91480544276408,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.86442332991909,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.56494698481004,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.18604358156153,"{0: 16, 1: 3, 2: 14, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.396029644489612,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.527066888753374,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.5096379535108,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.17945397732902,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.12041279202452,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.20482166583844,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.534714039483,"{0: 13, 1: 4, 2: 2, 3: 5, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.71776210112765,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.37407934137028,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-221.65154756319814,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.35756573120047,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.55104373903791,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-288.7457106395049,"{0: 16, 1: 2, 2: 11, 3: 3, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-127.45034564016031,"{0: 16, 1: 4, 2: 1, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-167.13988747848268,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.85456971360506,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-81.8397890295739,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.37060232936737,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-233.53051700386231,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.48213278403747,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
